,datetime,personal,heavy_goods
215,2023-01-09 23:00:00+00:00,138,15
216,2023-01-10 00:00:00+00:00,96,14
217,2023-01-10 01:00:00+00:00,38,9
218,2023-01-10 02:00:00+00:00,39,16
219,2023-01-10 03:00:00+00:00,43,27
220,2023-01-10 04:00:00+00:00,68,41
221,2023-01-10 05:00:00+00:00,212,87
222,2023-01-10 06:00:00+00:00,691,197
223,2023-01-10 07:00:00+00:00,1605,319
224,2023-01-10 08:00:00+00:00,1813,337
225,2023-01-10 09:00:00+00:00,1148,334
226,2023-01-10 10:00:00+00:00,855,254
227,2023-01-10 11:00:00+00:00,905,251
228,2023-01-10 12:00:00+00:00,926,246
229,2023-01-10 13:00:00+00:00,1020,233
230,2023-01-10 14:00:00+00:00,1052,247
231,2023-01-10 15:00:00+00:00,1353,332
232,2023-01-10 16:00:00+00:00,1640,293
233,2023-01-10 17:00:00+00:00,1805,217
234,2023-01-10 18:00:00+00:00,1276,115
235,2023-01-10 19:00:00+00:00,779,72
236,2023-01-10 20:00:00+00:00,522,66
237,2023-01-10 21:00:00+00:00,411,45
238,2023-01-10 22:00:00+00:00,231,30
239,2023-01-10 23:00:00+00:00,141,21
240,2023-01-11 00:00:00+00:00,62,14
241,2023-01-11 01:00:00+00:00,41,20
242,2023-01-11 02:00:00+00:00,51,12
243,2023-01-11 03:00:00+00:00,46,22
244,2023-01-11 04:00:00+00:00,74,37
245,2023-01-11 05:00:00+00:00,208,98
246,2023-01-11 06:00:00+00:00,735,191
247,2023-01-11 07:00:00+00:00,1583,328
248,2023-01-11 08:00:00+00:00,1814,361
249,2023-01-11 09:00:00+00:00,1146,322
250,2023-01-11 10:00:00+00:00,877,281
251,2023-01-11 11:00:00+00:00,905,269
252,2023-01-11 12:00:00+00:00,1033,247
253,2023-01-11 13:00:00+00:00,1154,246
254,2023-01-11 14:00:00+00:00,1079,283
255,2023-01-11 15:00:00+00:00,1255,293
256,2023-01-11 16:00:00+00:00,1588,308
257,2023-01-11 17:00:00+00:00,1717,238
258,2023-01-11 18:00:00+00:00,1293,124
259,2023-01-11 19:00:00+00:00,860,91
260,2023-01-11 20:00:00+00:00,560,57
261,2023-01-11 21:00:00+00:00,389,42
262,2023-01-11 22:00:00+00:00,263,26
263,2023-01-11 23:00:00+00:00,123,25
264,2023-01-12 00:00:00+00:00,78,20
265,2023-01-12 01:00:00+00:00,42,15
266,2023-01-12 02:00:00+00:00,44,15
267,2023-01-12 03:00:00+00:00,45,29
268,2023-01-12 04:00:00+00:00,75,42
269,2023-01-12 05:00:00+00:00,210,93
270,2023-01-12 06:00:00+00:00,679,191
271,2023-01-12 07:00:00+00:00,1576,339
272,2023-01-12 08:00:00+00:00,1801,323
273,2023-01-12 09:00:00+00:00,1135,324
274,2023-01-12 10:00:00+00:00,948,280
275,2023-01-12 11:00:00+00:00,947,268
276,2023-01-12 12:00:00+00:00,1005,242
277,2023-01-12 13:00:00+00:00,1091,220
278,2023-01-12 14:00:00+00:00,1161,266
279,2023-01-12 15:00:00+00:00,1395,281
280,2023-01-12 16:00:00+00:00,1683,308
281,2023-01-12 17:00:00+00:00,1667,228
282,2023-01-12 18:00:00+00:00,1312,134
283,2023-01-12 19:00:00+00:00,895,104
284,2023-01-12 20:00:00+00:00,600,65
285,2023-01-12 21:00:00+00:00,471,42
286,2023-01-12 22:00:00+00:00,295,36
287,2023-01-12 23:00:00+00:00,181,19
288,2023-01-13 00:00:00+00:00,85,14
289,2023-01-13 01:00:00+00:00,36,15
290,2023-01-13 02:00:00+00:00,45,17
291,2023-01-13 03:00:00+00:00,43,29
292,2023-01-13 04:00:00+00:00,73,41
293,2023-01-13 05:00:00+00:00,215,93
294,2023-01-13 06:00:00+00:00,623,166
295,2023-01-13 07:00:00+00:00,1383,354
296,2023-01-13 08:00:00+00:00,1660,347
297,2023-01-13 09:00:00+00:00,1095,344
298,2023-01-13 10:00:00+00:00,901,278
299,2023-01-13 11:00:00+00:00,1006,248
300,2023-01-13 12:00:00+00:00,1060,250
301,2023-01-13 13:00:00+00:00,1243,251
302,2023-01-13 14:00:00+00:00,1335,288
303,2023-01-13 15:00:00+00:00,1701,332
304,2023-01-13 16:00:00+00:00,1692,274
305,2023-01-13 17:00:00+00:00,1634,172
306,2023-01-13 18:00:00+00:00,1237,151
307,2023-01-13 19:00:00+00:00,986,80
308,2023-01-13 20:00:00+00:00,696,52
309,2023-01-13 21:00:00+00:00,482,41
310,2023-01-13 22:00:00+00:00,290,29
311,2023-01-13 23:00:00+00:00,227,20
312,2023-01-14 00:00:00+00:00,165,22
313,2023-01-14 01:00:00+00:00,95,20
314,2023-01-14 02:00:00+00:00,64,18
315,2023-01-14 03:00:00+00:00,60,26
316,2023-01-14 04:00:00+00:00,62,30
317,2023-01-14 05:00:00+00:00,96,37
318,2023-01-14 06:00:00+00:00,191,46
319,2023-01-14 07:00:00+00:00,378,101
320,2023-01-14 08:00:00+00:00,611,120
321,2023-01-14 09:00:00+00:00,917,152
322,2023-01-14 10:00:00+00:00,1184,150
323,2023-01-14 11:00:00+00:00,1449,144
324,2023-01-14 12:00:00+00:00,1543,155
